day,min_temp,max_temp,avg_temp
1993-01,-9.0,12.0,0.44
1993-02,-6.0,11.0,1.64
1993-03,-5.0,27.0,8.0
1993-04,-1.0,30.0,13.18
1993-05,6.0,34.0,17.98
1993-06,10.0,32.0,20.97
1993-07,8.0,32.0,21.58
1993-08,7.0,37.0,23.16
1993-09,6.0,29.0,16.8
1993-10,-1.0,21.0,10.65
1993-11,-7.0,16.0,4.85
1993-12,-11.0,10.0,0.31
1997-01,-6.0,8.0,1.24
1997-02,-7.0,14.0,3.34
1997-03,-2.0,25.0,10.16
1997-04,-1.0,26.0,11.7
1997-05,5.0,32.0,17.05
1997-06,8.0,32.0,19.55
1997-07,9.0,33.0,21.4
1997-08,10.0,35.0,22.58
1997-09,6.0,33.0,19.7
1997-10,-5.0,26.0,11.02
1997-11,-3.0,16.0,5.33
1997-12,-7.0,13.0,2.15
2001-01,-8.0,9.0,1.32
2001-02,-6.0,14.0,4.07
2001-03,-1.0,22.0,9.79
2001-04,0.0,24.0,11.37
2001-05,7.0,34.0,19.44
2001-06,6.0,34.0,20.03
2001-07,12.0,36.0,23.56
2001-08,10.0,34.0,23.45
2001-09,3.0,28.0,15.32
2001-10,5.0,22.0,13.45
2001-11,-6.0,17.0,3.7
2001-12,-11.0,13.0,-0.92
2005-01,-6.7,11.0,0.72
2005-02,-6.8,12.2,2.47
2005-03,-8.2,26.2,8.51
2005-04,2.9,27.3,13.0
2005-05,7.4,32.8,19.0
2005-06,10.0,37.3,23.26
2005-07,12.8,35.6,23.71
2005-08,12.2,33.2,21.91
2005-09,9.6,32.5,19.4
2005-10,2.9,19.6,12.1
2005-11,-4.8,14.6,5.42
2005-12,-9.6,8.8,-0.38
2009-01,-8.9,10.2,1.46
2009-02,-4.8,16.7,4.13
2009-03,-0.6,19.2,8.77
2009-04,6.0,25.2,14.06
2009-05,9.5,33.6,20.08
2009-06,10.0,31.7,21.54
2009-07,13.1,33.9,22.94
2009-08,13.4,33.5,24.13
2009-09,10.0,30.1,19.24
2009-10,0.6,24.7,12.99
2009-11,-1.4,14.0,7.41
2009-12,-9.5,12.2,2.16
2013-01,-3.3,17.7,3.15
2013-02,-3.4,12.6,3.13
2013-03,-0.8,16.0,7.45
2013-04,3.5,26.8,13.91
2013-05,5.1,26.5,15.82
2013-06,10.1,33.4,20.76
2013-07,13.7,35.8,24.83
2013-08,13.3,36.0,23.6
2013-09,9.3,29.5,18.79
2013-10,5.2,20.1,13.79
2013-11,-4.4,17.6,8.56
2013-12,-3.5,15.5,4.13
2017-01,-7.7,9.3,0.68
2017-02,-0.8,13.8,6.46
2017-03,1.2,24.0,12.11
2017-04,3.6,24.0,13.88
2017-05,5.8,31.2,18.79
2017-06,9.8,33.7,23.24
2017-07,12.2,33.7,23.46
2017-08,13.4,35.5,23.63
2017-09,7.1,25.9,16.63
2017-10,2.4,21.3,13.53
2017-11,-3.5,13.8,6.55
2017-12,-6.7,10.1,1.18
2021-01,-9.4,8.2,0.02
2021-02,-4.4,18.9,5.82
2021-03,-1.5,25.3,8.9
2021-04,-0.7,25.6,11.83
2021-05,7.0,26.6,15.77
2021-06,13.1,33.6,23.66
2021-07,14.4,33.5,23.04
2021-08,9.6,32.9,21.39
2021-09,11.1,29.7,19.58
2021-10,1.7,22.0,11.95
2021-11,-2.3,14.1,7.14
2021-12,-5.7,11.5,2.84
