,day,min_temp,max_temp,avg_temp,year
0,01.01.1993,-9.0,1.0,-4.0,1993
1,02.01.1993,-9.0,-1.0,-5.0,1993
2,03.01.1993,-4.0,1.0,-1.5,1993
3,04.01.1993,-9.0,0.0,-4.5,1993
4,05.01.1993,-5.0,2.0,-1.5,1993
5,06.01.1993,-4.0,4.0,0.0,1993
6,07.01.1993,-3.0,5.0,1.0,1993
7,08.01.1993,-3.0,8.0,2.5,1993
8,09.01.1993,-4.0,5.0,0.5,1993
9,10.01.1993,-6.0,0.0,-3.0,1993
10,11.01.1993,-1.0,3.0,1.0,1993
11,12.01.1993,2.0,5.0,3.5,1993
12,13.01.1993,-1.0,5.0,2.0,1993
13,14.01.1993,0.0,8.0,4.0,1993
14,15.01.1993,-2.0,8.0,3.0,1993
15,16.01.1993,-3.0,7.0,2.0,1993
16,17.01.1993,-5.0,1.0,-2.0,1993
17,18.01.1993,-2.0,1.0,-0.5,1993
18,19.01.1993,-3.0,3.0,0.0,1993
19,20.01.1993,-3.0,5.0,1.0,1993
20,21.01.1993,-4.0,4.0,0.0,1993
21,22.01.1993,-4.0,5.0,0.5,1993
22,23.01.1993,-2.0,2.0,0.0,1993
23,24.01.1993,-1.0,3.0,1.0,1993
24,25.01.1993,1.0,12.0,6.5,1993
25,26.01.1993,-5.0,7.0,1.0,1993
26,27.01.1993,-5.0,9.0,2.0,1993
27,28.01.1993,-6.0,7.0,0.5,1993
28,29.01.1993,-4.0,7.0,1.5,1993
29,30.01.1993,-5.0,8.0,1.5,1993
30,31.01.1993,-4.0,5.0,0.5,1993
31,01.02.1993,-3.0,7.0,2.0,1993
32,02.02.1993,-4.0,6.0,1.0,1993
33,03.02.1993,-2.0,7.0,2.5,1993
34,04.02.1993,-3.0,8.0,2.5,1993
35,05.02.1993,-4.0,6.0,1.0,1993
36,06.02.1993,-2.0,7.0,2.5,1993
37,07.02.1993,-1.0,11.0,5.0,1993
38,08.02.1993,-4.0,5.0,0.5,1993
39,09.02.1993,-5.0,10.0,2.5,1993
40,10.02.1993,-5.0,6.0,0.5,1993
41,11.02.1993,-3.0,5.0,1.0,1993
42,12.02.1993,-5.0,6.0,0.5,1993
43,13.02.1993,-4.0,7.0,1.5,1993
44,14.02.1993,-4.0,7.0,1.5,1993
45,15.02.1993,-6.0,7.0,0.5,1993
46,16.02.1993,-1.0,6.0,2.5,1993
47,17.02.1993,-4.0,4.0,0.0,1993
48,18.02.1993,-6.0,11.0,2.5,1993
49,19.02.1993,-4.0,8.0,2.0,1993
50,20.02.1993,-1.0,11.0,5.0,1993
51,21.02.1993,-2.0,7.0,2.5,1993
52,22.02.1993,-2.0,4.0,1.0,1993
53,23.02.1993,-3.0,2.0,-0.5,1993
54,24.02.1993,-3.0,5.0,1.0,1993
55,25.02.1993,-5.0,8.0,1.5,1993
56,26.02.1993,-5.0,7.0,1.0,1993
57,27.02.1993,-5.0,7.0,1.0,1993
58,28.02.1993,-2.0,5.0,1.5,1993
59,01.03.1993,1.0,5.0,3.0,1993
60,02.03.1993,1.0,8.0,4.5,1993
61,03.03.1993,1.0,9.0,5.0,1993
62,04.03.1993,0.0,10.0,5.0,1993
63,05.03.1993,-1.0,7.0,3.0,1993
64,06.03.1993,-5.0,14.0,4.5,1993
65,07.03.1993,-2.0,13.0,5.5,1993
66,08.03.1993,-2.0,12.0,5.0,1993
67,09.03.1993,-5.0,12.0,3.5,1993
68,10.03.1993,-3.0,12.0,4.5,1993
69,11.03.1993,-2.0,15.0,6.5,1993
70,12.03.1993,-1.0,14.0,6.5,1993
71,13.03.1993,1.0,15.0,8.0,1993
72,14.03.1993,4.0,15.0,9.5,1993
73,15.03.1993,3.0,17.0,10.0,1993
74,16.03.1993,-1.0,20.0,9.5,1993
75,17.03.1993,0.0,27.0,13.5,1993
76,18.03.1993,5.0,26.0,15.5,1993
77,19.03.1993,5.0,25.0,15.0,1993
78,20.03.1993,5.0,23.0,14.0,1993
79,21.03.1993,3.0,20.0,11.5,1993
80,22.03.1993,9.0,17.0,13.0,1993
81,23.03.1993,9.0,16.0,12.5,1993
82,24.03.1993,7.0,13.0,10.0,1993
83,25.03.1993,6.0,11.0,8.5,1993
84,26.03.1993,3.0,18.0,10.5,1993
85,27.03.1993,0.0,10.0,5.0,1993
86,28.03.1993,2.0,10.0,6.0,1993
87,29.03.1993,-1.0,13.0,6.0,1993
88,30.03.1993,-1.0,15.0,7.0,1993
89,31.03.1993,-3.0,16.0,6.5,1993
90,01.04.1993,-1.0,17.0,8.0,1993
91,02.04.1993,6.0,19.0,12.5,1993
92,03.04.1993,6.0,15.0,10.5,1993
93,04.04.1993,4.0,12.0,8.0,1993
94,05.04.1993,6.0,20.0,13.0,1993
95,06.04.1993,3.0,21.0,12.0,1993
96,07.04.1993,3.0,30.0,16.5,1993
97,08.04.1993,6.0,23.0,14.5,1993
98,09.04.1993,4.0,19.0,11.5,1993
99,10.04.1993,6.0,15.0,10.5,1993
100,11.04.1993,6.0,14.0,10.0,1993
101,12.04.1993,5.0,13.0,9.0,1993
102,13.04.1993,6.0,11.0,8.5,1993
103,14.04.1993,5.0,26.0,15.5,1993
104,15.04.1993,6.0,18.0,12.0,1993
105,16.04.1993,3.0,23.0,13.0,1993
106,17.04.1993,5.0,21.0,13.0,1993
107,18.04.1993,2.0,22.0,12.0,1993
108,19.04.1993,7.0,21.0,14.0,1993
109,20.04.1993,5.0,24.0,14.5,1993
110,21.04.1993,11.0,22.0,16.5,1993
111,22.04.1993,6.0,24.0,15.0,1993
112,23.04.1993,5.0,24.0,14.5,1993
113,24.04.1993,8.0,24.0,16.0,1993
114,25.04.1993,10.0,19.0,14.5,1993
115,26.04.1993,10.0,24.0,17.0,1993
116,27.04.1993,7.0,27.0,17.0,1993
117,28.04.1993,12.0,19.0,15.5,1993
118,29.04.1993,11.0,23.0,17.0,1993
119,30.04.1993,11.0,17.0,14.0,1993
120,01.05.1993,6.0,18.0,12.0,1993
121,02.05.1993,7.0,22.0,14.5,1993
122,03.05.1993,7.0,23.0,15.0,1993
123,04.05.1993,10.0,26.0,18.0,1993
124,05.05.1993,9.0,26.0,17.5,1993
125,06.05.1993,9.0,22.0,15.5,1993
126,07.05.1993,10.0,22.0,16.0,1993
127,08.05.1993,9.0,24.0,16.5,1993
128,09.05.1993,10.0,25.0,17.5,1993
129,10.05.1993,12.0,27.0,19.5,1993
130,11.05.1993,11.0,23.0,17.0,1993
131,12.05.1993,11.0,22.0,16.5,1993
132,13.05.1993,8.0,21.0,14.5,1993
133,14.05.1993,7.0,24.0,15.5,1993
134,15.05.1993,7.0,28.0,17.5,1993
135,16.05.1993,11.0,25.0,18.0,1993
136,17.05.1993,9.0,26.0,17.5,1993
137,18.05.1993,9.0,26.0,17.5,1993
138,19.05.1993,10.0,28.0,19.0,1993
139,20.05.1993,15.0,34.0,24.5,1993
140,21.05.1993,11.0,23.0,17.0,1993
141,22.05.1993,9.0,25.0,17.0,1993
142,23.05.1993,8.0,27.0,17.5,1993
143,24.05.1993,10.0,28.0,19.0,1993
144,25.05.1993,13.0,30.0,21.5,1993
145,26.05.1993,13.0,30.0,21.5,1993
146,27.05.1993,20.0,28.0,24.0,1993
147,28.05.1993,13.0,26.0,19.5,1993
148,29.05.1993,11.0,27.0,19.0,1993
149,30.05.1993,11.0,27.0,19.0,1993
150,31.05.1993,16.0,30.0,23.0,1993
151,01.06.1993,13.0,29.0,21.0,1993
152,02.06.1993,14.0,32.0,23.0,1993
153,03.06.1993,13.0,21.0,17.0,1993
154,04.06.1993,13.0,27.0,20.0,1993
155,05.06.1993,10.0,31.0,20.5,1993
156,06.06.1993,12.0,31.0,21.5,1993
157,07.06.1993,16.0,32.0,24.0,1993
158,08.06.1993,15.0,32.0,23.5,1993
159,09.06.1993,18.0,31.0,24.5,1993
160,10.06.1993,16.0,30.0,23.0,1993
161,11.06.1993,15.0,27.0,21.0,1993
162,12.06.1993,13.0,26.0,19.5,1993
163,13.06.1993,13.0,21.0,17.0,1993
164,14.06.1993,13.0,28.0,20.5,1993
165,15.06.1993,13.0,28.0,20.5,1993
166,16.06.1993,11.0,30.0,20.5,1993
167,17.06.1993,18.0,29.0,23.5,1993
168,18.06.1993,11.0,27.0,19.0,1993
169,19.06.1993,11.0,29.0,20.0,1993
170,20.06.1993,14.0,30.0,22.0,1993
171,21.06.1993,14.0,28.0,21.0,1993
172,22.06.1993,17.0,26.0,21.5,1993
173,23.06.1993,16.0,24.0,20.0,1993
174,24.06.1993,15.0,31.0,23.0,1993
175,25.06.1993,12.0,26.0,19.0,1993
176,26.06.1993,15.0,31.0,23.0,1993
177,27.06.1993,10.0,28.0,19.0,1993
178,28.06.1993,16.0,30.0,23.0,1993
179,29.06.1993,13.0,21.0,17.0,1993
180,30.06.1993,14.0,28.0,21.0,1993
181,01.07.1993,15.0,29.0,22.0,1993
182,02.07.1993,16.0,29.0,22.5,1993
183,03.07.1993,17.0,30.0,23.5,1993
184,04.07.1993,14.0,32.0,23.0,1993
185,05.07.1993,16.0,31.0,23.5,1993
186,06.07.1993,19.0,30.0,24.5,1993
187,07.07.1993,16.0,31.0,23.5,1993
188,08.07.1993,10.0,27.0,18.5,1993
189,09.07.1993,17.0,28.0,22.5,1993
190,10.07.1993,15.0,25.0,20.0,1993
191,11.07.1993,12.0,23.0,17.5,1993
192,12.07.1993,11.0,25.0,18.0,1993
193,13.07.1993,8.0,27.0,17.5,1993
194,14.07.1993,10.0,25.0,17.5,1993
195,15.07.1993,14.0,26.0,20.0,1993
196,16.07.1993,17.0,31.0,24.0,1993
197,17.07.1993,16.0,30.0,23.0,1993
198,18.07.1993,20.0,30.0,25.0,1993
199,19.07.1993,17.0,26.0,21.5,1993
200,20.07.1993,15.0,24.0,19.5,1993
201,21.07.1993,14.0,28.0,21.0,1993
202,22.07.1993,13.0,30.0,21.5,1993
203,23.07.1993,9.0,30.0,19.5,1993
204,24.07.1993,11.0,28.0,19.5,1993
205,25.07.1993,15.0,27.0,21.0,1993
206,26.07.1993,14.0,31.0,22.5,1993
207,27.07.1993,14.0,26.0,20.0,1993
208,28.07.1993,16.0,31.0,23.5,1993
209,29.07.1993,17.0,32.0,24.5,1993
210,30.07.1993,18.0,32.0,25.0,1993
211,31.07.1993,16.0,32.0,24.0,1993
212,01.08.1993,13.0,32.0,22.5,1993
213,02.08.1993,17.0,32.0,24.5,1993
214,03.08.1993,16.0,35.0,25.5,1993
215,04.08.1993,17.0,34.0,25.5,1993
216,05.08.1993,20.0,33.0,26.5,1993
217,06.08.1993,17.0,32.0,24.5,1993
218,07.08.1993,16.0,31.0,23.5,1993
219,08.08.1993,17.0,31.0,24.0,1993
220,09.08.1993,14.0,31.0,22.5,1993
221,10.08.1993,12.0,28.0,20.0,1993
222,11.08.1993,14.0,31.0,22.5,1993
223,12.08.1993,17.0,29.0,23.0,1993
224,13.08.1993,14.0,33.0,23.5,1993
225,14.08.1993,15.0,33.0,24.0,1993
226,15.08.1993,14.0,33.0,23.5,1993
227,16.08.1993,17.0,35.0,26.0,1993
228,17.08.1993,16.0,37.0,26.5,1993
229,18.08.1993,16.0,33.0,24.5,1993
230,19.08.1993,16.0,31.0,23.5,1993
231,20.08.1993,17.0,36.0,26.5,1993
232,21.08.1993,16.0,32.0,24.0,1993
233,22.08.1993,17.0,32.0,24.5,1993
234,23.08.1993,18.0,32.0,25.0,1993
235,24.08.1993,18.0,29.0,23.5,1993
236,25.08.1993,17.0,30.0,23.5,1993
237,26.08.1993,16.0,27.0,21.5,1993
238,27.08.1993,17.0,20.0,18.5,1993
239,28.08.1993,15.0,27.0,21.0,1993
240,29.08.1993,8.0,28.0,18.0,1993
241,30.08.1993,7.0,23.0,15.0,1993
242,31.08.1993,12.0,30.0,21.0,1993
243,01.09.1993,9.0,28.0,18.5,1993
244,02.09.1993,9.0,25.0,17.0,1993
245,03.09.1993,11.0,22.0,16.5,1993
246,04.09.1993,8.0,17.0,12.5,1993
247,05.09.1993,6.0,26.0,16.0,1993
248,06.09.1993,7.0,22.0,14.5,1993
249,07.09.1993,10.0,23.0,16.5,1993
250,08.09.1993,14.0,17.0,15.5,1993
251,09.09.1993,15.0,19.0,17.0,1993
252,10.09.1993,13.0,26.0,19.5,1993
253,11.09.1993,11.0,24.0,17.5,1993
254,12.09.1993,12.0,26.0,19.0,1993
255,13.09.1993,13.0,19.0,16.0,1993
256,14.09.1993,10.0,23.0,16.5,1993
257,15.09.1993,7.0,23.0,15.0,1993
258,16.09.1993,10.0,24.0,17.0,1993
259,17.09.1993,11.0,24.0,17.5,1993
260,18.09.1993,14.0,27.0,20.5,1993
261,19.09.1993,14.0,27.0,20.5,1993
