day,min_temp,max_temp,avg_temp
1993-01-01,-9.0,1.0,-4.0
1993-01-02,-9.0,-1.0,-5.0
1993-01-03,-4.0,1.0,-1.5
1993-01-04,-9.0,0.0,-4.5
1993-01-05,-5.0,2.0,-1.5
1993-01-06,-4.0,4.0,0.0
1993-01-07,-3.0,5.0,1.0
1993-01-08,-3.0,8.0,2.5
1993-01-09,-4.0,5.0,0.5
1993-01-10,-6.0,0.0,-3.0
1993-01-11,-1.0,3.0,1.0
1993-01-12,2.0,5.0,3.5
1993-01-13,-1.0,5.0,2.0
1993-01-14,0.0,8.0,4.0
1993-01-15,-2.0,8.0,3.0
1993-01-16,-3.0,7.0,2.0
1993-01-17,-5.0,1.0,-2.0
1993-01-18,-2.0,1.0,-0.5
1993-01-19,-3.0,3.0,0.0
1993-01-20,-3.0,5.0,1.0
1993-01-21,-4.0,4.0,0.0
1993-01-22,-4.0,5.0,0.5
1993-01-23,-2.0,2.0,0.0
1993-01-24,-1.0,3.0,1.0
1993-01-25,1.0,12.0,6.5
1993-01-26,-5.0,7.0,1.0
1993-01-27,-5.0,9.0,2.0
1993-01-28,-6.0,7.0,0.5
1993-01-29,-4.0,7.0,1.5
1993-01-30,-5.0,8.0,1.5
1993-01-31,-4.0,5.0,0.5
1993-02-01,-3.0,7.0,2.0
1993-02-02,-4.0,6.0,1.0
1993-02-03,-2.0,7.0,2.5
1993-02-04,-3.0,8.0,2.5
1993-02-05,-4.0,6.0,1.0
1993-02-06,-2.0,7.0,2.5
1993-02-07,-1.0,11.0,5.0
1993-02-08,-4.0,5.0,0.5
1993-02-09,-5.0,10.0,2.5
1993-02-10,-5.0,6.0,0.5
1993-02-11,-3.0,5.0,1.0
1993-02-12,-5.0,6.0,0.5
1993-02-13,-4.0,7.0,1.5
1993-02-14,-4.0,7.0,1.5
1993-02-15,-6.0,7.0,0.5
1993-02-16,-1.0,6.0,2.5
1993-02-17,-4.0,4.0,0.0
1993-02-18,-6.0,11.0,2.5
1993-02-19,-4.0,8.0,2.0
1993-02-20,-1.0,11.0,5.0
1993-02-21,-2.0,7.0,2.5
1993-02-22,-2.0,4.0,1.0
1993-02-23,-3.0,2.0,-0.5
1993-02-24,-3.0,5.0,1.0
1993-02-25,-5.0,8.0,1.5
1993-02-26,-5.0,7.0,1.0
1993-02-27,-5.0,7.0,1.0
1993-02-28,-2.0,5.0,1.5
1993-03-01,1.0,5.0,3.0
1993-03-02,1.0,8.0,4.5
1993-03-03,1.0,9.0,5.0
1993-03-04,0.0,10.0,5.0
1993-03-05,-1.0,7.0,3.0
1993-03-06,-5.0,14.0,4.5
1993-03-07,-2.0,13.0,5.5
1993-03-08,-2.0,12.0,5.0
1993-03-09,-5.0,12.0,3.5
1993-03-10,-3.0,12.0,4.5
1993-03-11,-2.0,15.0,6.5
1993-03-12,-1.0,14.0,6.5
1993-03-13,1.0,15.0,8.0
1993-03-14,4.0,15.0,9.5
1993-03-15,3.0,17.0,10.0
1993-03-16,-1.0,20.0,9.5
1993-03-17,0.0,27.0,13.5
1993-03-18,5.0,26.0,15.5
1993-03-19,5.0,25.0,15.0
1993-03-20,5.0,23.0,14.0
1993-03-21,3.0,20.0,11.5
1993-03-22,9.0,17.0,13.0
1993-03-23,9.0,16.0,12.5
1993-03-24,7.0,13.0,10.0
1993-03-25,6.0,11.0,8.5
1993-03-26,3.0,18.0,10.5
1993-03-27,0.0,10.0,5.0
1993-03-28,2.0,10.0,6.0
1993-03-29,-1.0,13.0,6.0
1993-03-30,-1.0,15.0,7.0
1993-03-31,-3.0,16.0,6.5
1993-04-01,-1.0,17.0,8.0
1993-04-02,6.0,19.0,12.5
1993-04-03,6.0,15.0,10.5
1993-04-04,4.0,12.0,8.0
1993-04-05,6.0,20.0,13.0
1993-04-06,3.0,21.0,12.0
1993-04-07,3.0,30.0,16.5
1993-04-08,6.0,23.0,14.5
1993-04-09,4.0,19.0,11.5
1993-04-10,6.0,15.0,10.5
1993-04-11,6.0,14.0,10.0
1993-04-12,5.0,13.0,9.0
1993-04-13,6.0,11.0,8.5
1993-04-14,5.0,26.0,15.5
1993-04-15,6.0,18.0,12.0
1993-04-16,3.0,23.0,13.0
1993-04-17,5.0,21.0,13.0
1993-04-18,2.0,22.0,12.0
1993-04-19,7.0,21.0,14.0
1993-04-20,5.0,24.0,14.5
1993-04-21,11.0,22.0,16.5
1993-04-22,6.0,24.0,15.0
1993-04-23,5.0,24.0,14.5
1993-04-24,8.0,24.0,16.0
1993-04-25,10.0,19.0,14.5
1993-04-26,10.0,24.0,17.0
1993-04-27,7.0,27.0,17.0
1993-04-28,12.0,19.0,15.5
1993-04-29,11.0,23.0,17.0
1993-04-30,11.0,17.0,14.0
1993-05-01,6.0,18.0,12.0
1993-05-02,7.0,22.0,14.5
1993-05-03,7.0,23.0,15.0
1993-05-04,10.0,26.0,18.0
1993-05-05,9.0,26.0,17.5
1993-05-06,9.0,22.0,15.5
1993-05-07,10.0,22.0,16.0
1993-05-08,9.0,24.0,16.5
1993-05-09,10.0,25.0,17.5
1993-05-10,12.0,27.0,19.5
1993-05-11,11.0,23.0,17.0
1993-05-12,11.0,22.0,16.5
1993-05-13,8.0,21.0,14.5
1993-05-14,7.0,24.0,15.5
1993-05-15,7.0,28.0,17.5
1993-05-16,11.0,25.0,18.0
1993-05-17,9.0,26.0,17.5
1993-05-18,9.0,26.0,17.5
1993-05-19,10.0,28.0,19.0
1993-05-20,15.0,34.0,24.5
1993-05-21,11.0,23.0,17.0
1993-05-22,9.0,25.0,17.0
1993-05-23,8.0,27.0,17.5
1993-05-24,10.0,28.0,19.0
1993-05-25,13.0,30.0,21.5
1993-05-26,13.0,30.0,21.5
1993-05-27,20.0,28.0,24.0
1993-05-28,13.0,26.0,19.5
1993-05-29,11.0,27.0,19.0
1993-05-30,11.0,27.0,19.0
1993-05-31,16.0,30.0,23.0
1993-06-01,13.0,29.0,21.0
1993-06-02,14.0,32.0,23.0
1993-06-03,13.0,21.0,17.0
1993-06-04,13.0,27.0,20.0
1993-06-05,10.0,31.0,20.5
1993-06-06,12.0,31.0,21.5
1993-06-07,16.0,32.0,24.0
1993-06-08,15.0,32.0,23.5
1993-06-09,18.0,31.0,24.5
1993-06-10,16.0,30.0,23.0
1993-06-11,15.0,27.0,21.0
1993-06-12,13.0,26.0,19.5
1993-06-13,13.0,21.0,17.0
1993-06-14,13.0,28.0,20.5
1993-06-15,13.0,28.0,20.5
1993-06-16,11.0,30.0,20.5
1993-06-17,18.0,29.0,23.5
1993-06-18,11.0,27.0,19.0
1993-06-19,11.0,29.0,20.0
1993-06-20,14.0,30.0,22.0
