,Name,Height,CO2,Pollution,Crown_height,Crown_width,Canopy,Leaf_area,Leaf_biomass,circoscrizione
5904,Aesculus hippocastanum,11.0,22.2,658.8,3.3,11.0,95.0,454.1,31.8,S.GIUSEPPE-S.CHIARA
5895,Aesculus hippocastanum,3.5,1.3,9.6,1.0,2.0,3.1,6.6,0.5,S.GIUSEPPE-S.CHIARA
5894,Aesculus hippocastanum,11.0,22.2,750.3,3.3,11.0,95.0,517.2,36.2,S.GIUSEPPE-S.CHIARA
5893,Aesculus hippocastanum,4.0,1.6,8.2,1.2,2.0,3.1,5.7,0.4,S.GIUSEPPE-S.CHIARA
5867,Aesculus hippocastanum,11.0,22.2,750.3,3.3,11.0,95.0,517.2,36.2,CENTRO STORICO PIEDICASTELLO
5866,Aesculus hippocastanum,11.0,22.2,613.0,3.3,11.0,95.0,422.6,29.6,S.GIUSEPPE-S.CHIARA
5865,Aesculus hippocastanum,4.0,1.3,10.0,1.2,2.0,3.1,6.9,0.5,S.GIUSEPPE-S.CHIARA
5864,Aesculus hippocastanum,11.0,17.7,752.1,3.3,12.0,113.1,518.5,36.3,S.GIUSEPPE-S.CHIARA
5863,Aesculus hippocastanum,10.0,17.6,745.2,3.0,11.0,95.0,513.7,35.9,S.GIUSEPPE-S.CHIARA
5862,Aesculus hippocastanum,3.5,1.1,6.4,1.0,1.5,1.8,4.4,0.3,S.GIUSEPPE-S.CHIARA
5861,Aesculus hippocastanum,3.5,1.1,5.2,1.0,1.5,1.8,3.6,0.3,S.GIUSEPPE-S.CHIARA
5860,Aesculus hippocastanum,10.0,15.5,722.7,3.0,11.0,95.0,498.2,34.8,S.GIUSEPPE-S.CHIARA
5859,Aesculus hippocastanum,10.0,13.4,452.5,3.0,10.0,78.5,312.0,21.8,S.GIUSEPPE-S.CHIARA
5858,Aesculus hippocastanum,9.0,9.6,441.2,2.7,10.0,78.5,304.2,21.3,S.GIUSEPPE-S.CHIARA
5857,Aesculus hippocastanum,9.0,9.6,533.1,2.7,10.0,78.5,367.5,25.7,S.GIUSEPPE-S.CHIARA
5856,Aesculus hippocastanum,10.0,27.0,936.4,3.0,12.0,113.1,645.5,45.1,S.GIUSEPPE-S.CHIARA
