,Name,circoscrizione,count
1577,Celtis australis,ARGENTARIO,61
1543,Aesculus hippocastanum,ARGENTARIO,9
1501,other,ARGENTARIO,361
9360,Carpinus betulus,ARGENTARIO,18
1590,Tilia cordata,ARGENTARIO,5
40,other,BONDONE,258
11361,Celtis australis,BONDONE,1
84,Tilia cordata,BONDONE,9
90,Carpinus betulus,BONDONE,3
10234,Aesculus hippocastanum,BONDONE,21
1644,Celtis australis,CENTRO STORICO PIEDICASTELLO,242
1645,other,CENTRO STORICO PIEDICASTELLO,2416
1661,Carpinus betulus,CENTRO STORICO PIEDICASTELLO,159
1776,Aesculus hippocastanum,CENTRO STORICO PIEDICASTELLO,91
5774,Platanus,CENTRO STORICO PIEDICASTELLO,1
4503,Tilia cordata,CENTRO STORICO PIEDICASTELLO,55
477,other,GARDOLO,1167
478,Celtis australis,GARDOLO,211
485,Carpinus betulus,GARDOLO,53
490,Tilia cordata,GARDOLO,216
8092,Aesculus hippocastanum,GARDOLO,4
11744,Aesculus hippocastanum,MATTARELLO,1
117,Carpinus betulus,MATTARELLO,13
193,Celtis australis,MATTARELLO,25
116,other,MATTARELLO,219
200,Tilia cordata,MATTARELLO,6
9438,Carpinus betulus,MEANO,2
1497,other,MEANO,194
1522,Celtis australis,MEANO,9
9451,Tilia cordata,MEANO,1
212,other,OLTREFERSINA,2053
2700,Platanus,OLTREFERSINA,25
1869,Aesculus hippocastanum,OLTREFERSINA,34
1768,Carpinus betulus,OLTREFERSINA,126
1939,Tilia cordata,OLTREFERSINA,116
1652,Celtis australis,OLTREFERSINA,341
3,other,POVO,153
11396,Carpinus betulus,POVO,1
148,Celtis australis,POVO,21
78,Tilia cordata,POVO,1
11392,Aesculus hippocastanum,POVO,13
20,Tilia cordata,RAVINA-ROMAGNANO,34
8377,Aesculus hippocastanum,RAVINA-ROMAGNANO,3
93,Carpinus betulus,RAVINA-ROMAGNANO,5
340,Celtis australis,RAVINA-ROMAGNANO,15
100,other,RAVINA-ROMAGNANO,262
5804,Platanus,S.GIUSEPPE-S.CHIARA,1
1693,other,S.GIUSEPPE-S.CHIARA,2381
2044,Carpinus betulus,S.GIUSEPPE-S.CHIARA,123
1932,Tilia cordata,S.GIUSEPPE-S.CHIARA,31
1772,Aesculus hippocastanum,S.GIUSEPPE-S.CHIARA,405
1771,Celtis australis,S.GIUSEPPE-S.CHIARA,83
0,other,SARDAGNA,38
17,Tilia cordata,VILLAZZANO,35
131,Celtis australis,VILLAZZANO,19
15,other,VILLAZZANO,329
125,Carpinus betulus,VILLAZZANO,33
